ID X y Forma Profundidad Ancho Largo Planta Volumen Escalon Lajas Edad Sexo Posición MIEM Deformacion Orientacion Pigmento Mocasin Canasto Ollas Cuencos Jarras Cantaro Total_ceramicas GDT Pisba Agujas Cuenta_hueso Cuentas_dientes Fauna Lanzadera Punzon Volantes Piedras_verdes Cuentas_piedra Cuentas_zoomorfas Cantos Conchas_rect Cuentas_discoides_concha Cuentas_rectangulares_concha Cuentas_alargadas_concha Cuentas_tubulares_concha Cuentas_conicas_concha Cuentas_punta_caracol Cuentas_coma_concha Total_cuentas_concha OV Cuentas_oro Lamina_oro Tejuelos_oro Total_objetos Numero_categorias Importados Ubicación_ajuar
Tumba_14 60.35 25.35 Rectangular 0.70 0.52 1.20 0.62 0.44 0 0 2 NA Extendido_dorsal bxpx 0 90 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 17 0 0 0 0 1 18 0 0 0 0 2 4 1 Tronco_y_pies
Tumba_15 32.55 18.30 Rectangular 0.40 0.33 1.66 0.55 0.22 0 0 7 Masculino Extendido_dorsal bxpx 0 20 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 NA
Tumba_16 46.10 19.30 Rectangular 0.40 0.33 1.60 0.53 0.21 0 0 1 NA Extendido_dorsal bxpx 0 330 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_17 36.00 13.50 Rectangular 0.65 0.44 0.94 0.41 0.27 0 0 1 NA Extendido_dorsal bxpx 0 220 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 21 0 0 0 0 0 0 21 0 0 0 0 1 2 1 Tronco
Tumba_18 34.80 15.50 Rectangular 0.65 0.40 1.50 0.60 0.39 0 0 7 Femenino Extendido_dorsal NA 0 140 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 3 0 0 0 0 1 1 1 Tronco
Tumba_19 34.50 14.95 Rectangular 0.65 0.40 0.65 0.26 0.17 0 0 7 Femenino Extendido_dorsal bepe 0 150 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_20 34.40 18.75 Rectangular 1.20 1.10 2.15 2.37 2.84 1 0 9 Femenino Extendido_dorsal bepe 0 120 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 Cabeza
Tumba_22 78.80 25.60 Rectangular 0.85 0.50 2.30 1.15 0.98 1 0 NA NA Extendido_dorsal bepe NA 90 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_23 49.00 38.10 Rectangular 1.30 1.20 2.00 2.40 3.12 1 1 5 Femenino Extendido_dorsal bxpe 0 130 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_24 89.60 14.30 Rectangular 0.70 0.22 0.74 0.16 0.11 1 0 1 NA Extendido_dorsal bepe 0 90 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_25 84.80 14.70 Rectangular 0.90 0.80 1.90 1.52 1.37 1 0 5 Masculino Extendido_dorsal bxpe 0 180 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 13 0 0 0 0 0 0 0 0 0 0 42 42 0 0 0 0 1 3 1 Tronco
Tumba_26 82.40 14.50 Rectangular 0.90 0.25 0.97 0.24 0.22 1 0 1 NA Extendido_laterali bepx 0 210 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_27 86.60 15.00 Rectangular 1.05 0.65 1.75 1.14 1.19 1 0 6 Femenino Extendido_dorsal NA 0 167 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 Tronco
Tumba_27A 87.30 24.80 Rectangular 1.00 0.50 1.40 0.70 0.70 1 0 7 Femenino Extendido_dorsal NA 0 105 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 Tronco_y_pies
Tumba_28 83.40 15.40 Rectangular 0.90 0.30 1.60 0.48 0.43 1 0 8 Femenino Extendido_dorsal bepx 0 190 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 Pies
Tumba_28A 83.45 13.75 Rectangular 1.50 0.40 1.85 0.74 1.11 1 0 6 Masculino Extendido_dorsal bepe 0 200 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 Cabeza
Tumba_28B 83.60 13.50 Rectangular 1.60 0.45 2.15 0.97 1.55 1 0 7 NA Extendido_dorsal bepe 0 250 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 Pies
Tumba_29 47.50 21.10 Rectangular 1.10 1.10 1.80 1.98 2.18 1 0 7 Femenino Extendido_dorsal bepe 0 160 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 4 0 0 0 0 570 0 56 0 0 0 0 626 0 0 0 0 2 4 1 Cabeza_y_tronco
Tumba_30 47.00 19.65 Rectangular 0.93 0.55 1.50 0.83 0.77 1 0 3 NA Extendido_dorsal bepe 0 175 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 89 0 0 0 0 0 0 89 0 0 0 0 2 2 1 Cabeza_y_tronco
Tumba_31 47.25 17.80 Rectangular 1.00 0.75 2.00 1.50 1.50 1 0 7 NA Extendido_dorsal bepe 0 165 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 NA
Tumba_32 44.80 20.85 Rectangular 0.95 0.40 1.85 0.74 0.70 1 0 8 Femenino Extendido_dorsal bepe 1 155 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 5 0 0 0 0 2 3 1 Tronco
Tumba_33 43.60 21.70 Rectangular 0.95 0.50 1.70 0.85 0.81 1 0 4 Femenino Extendido_dorsal bepe 1 155 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 438 0 0 1 1 0 0 440 0 0 0 0 2 4 1 Cabeza_y_tronco
Tumba_34 45.00 24.50 Rectangular 1.05 0.90 1.80 1.62 1.70 1 0 7 Femenino Extendido_dorsal bepe 0 140 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_35 46.15 24.40 Rectangular 0.85 0.90 1.70 1.53 1.30 1 0 4 Femenino Extendido_dorsal bepe 0 160 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 36 0 1 0 0 3 4 3 Cabeza_y_tronco
Tumba_36 46.60 24.50 Rectangular 0.70 0.20 1.16 0.23 0.16 1 0 3 NA Extendido_dorsal bepe 0 152 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_37 44.00 23.30 Rectangular 0.70 0.55 1.90 1.05 0.73 1 0 7 Femenino Extendido_dorsal bepe 0 150 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 Cabeza
Tumba_38 43.40 24.95 Rectangular 0.70 0.60 1.75 1.05 0.74 1 0 5 Femenino Extendido_dorsal bepe 0 150 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 NA
Tumba_39 45.50 22.75 Rectangular 0.63 0.48 1.38 0.66 0.42 1 0 1 NA Extendido_dorsal bepe 0 140 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_41 65.50 24.70 Rectangular 0.95 1.00 2.00 2.00 1.90 1 0 8 Masculino Extendido_dorsal bepx 0 195 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_42 64.30 26.10 Rectangular 0.95 0.70 1.90 1.33 1.26 1 0 7 Masculino Extendido_dorsal bxpx 0 165 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_43 66.50 26.90 Rectangular 1.00 0.90 2.10 1.89 1.89 1 0 7 Masculino Extendido_dorsal bepx 0 85 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 Cabeza
Tumba_44 47.75 28.10 Rectangular 0.66 0.45 1.83 0.82 0.54 0 0 7 Femenino Extendido_dorsal bepe 0 155 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 61 0 4 1 0 0 0 66 0 0 0 0 1 4 1 Tronco
Tumba_45 9.04 16.50 Rectangular 0.82 0.40 1.70 0.68 0.56 0 0 7 Masculino Extendido_dorsal bepe 0 180 0 1 1 0 0 0 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 0 Cabeza_y_tronco
Tumba_46 13.00 38.34 Rectangular 0.70 0.45 1.70 0.77 0.54 1 0 7 Femenino Extendido_dorsal bxpx 0 190 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_47 33.20 10.00 Rectangular 1.00 0.45 2.00 0.90 0.90 1 0 7 Femenino Extendido_dorsal bepe 0 90 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 2 0 Tronco_y_pies
Tumba_48 51.35 7.80 Rectangular 1.10 0.40 1.80 0.72 0.79 1 1 6 NA Extendido_dorsal bepe 0 90 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_49 53.20 0.25 Rectangular 1.10 0.40 1.80 0.72 0.79 1 1 6 Femenino Extendido_dorsal bepx 1 160 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 130 0 0 0 0 0 0 130 0 0 0 0 1 1 1 Tronco
Tumba_50 72.40 4.50 Rectangular 1.50 0.90 2.00 1.80 2.70 1 1 6 Masculino Extendido_dorsal bepx 0 90 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 Pies
Tumba_56 56.30 17.60 Rectangular 0.70 0.45 2.00 0.90 0.63 1 1 7 Masculino Extendido_dorsal bepx 0 175 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 Pies
Tumba_57 54.20 11.05 Rectangular 1.06 0.85 1.80 1.53 1.62 1 0 6 Femenino Extendido_dorsal bepe 0 90 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 NA
Tumba_58 53.20 9.50 Rectangular 0.91 0.52 1.80 0.94 0.85 1 0 6 Masculino Extendido_dorsal bepe 0 180 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 3 2 0 Cabeza_y_tronco
Tumba_60 15.10 23.00 Rectangular 0.80 0.40 1.60 0.64 0.51 1 0 7 Femenino Extendido_dorsal bepe 0 160 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_61 60.30 55.20 Rectangular 1.08 0.40 1.70 0.68 0.73 1 0 NA Femenino Extendido_dorsal bepe 1 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_62 59.30 54.65 Rectangular 0.88 0.45 2.00 0.90 0.79 1 0 NA Femenino Extendido_dorsal bepe 0 160 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_63 35.70 49.20 Rectangular 0.86 0.35 1.48 0.52 0.45 0 0 8 Femenino Extendido_dorsal bepe 1 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_64 32.15 31.65 Rectangular 0.80 0.45 1.60 0.72 0.58 1 0 2 NA Extendido_dorsal bepx 0 160 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1048 0 0 0 0 3 0 1051 0 0 1 0 2 4 2 Cabeza_y_tronco
Tumba_65 43.00 14.75 Rectangular 0.70 0.88 2.30 2.02 1.42 0 0 5 Masculino Extendido_dorsal bxpe 0 154 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 172 172 0 0 0 0 2 2 1 Cabeza_y_tronco
Tumba_66 41.10 14.70 Rectangular 0.65 0.70 1.90 1.33 0.86 0 0 7 Masculino Extendido_laterald bxpe 1 202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 NA
Tumba_67 48.85 25.30 Rectangular 0.72 0.50 2.00 1.00 0.72 1 0 6 Masculino Extendido_dorsal bxpe 0 175 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 Cabeza
Tumba_68 77.60 12.50 Rectangular 0.75 0.45 2.00 0.90 0.68 0 0 6 Masculino Extendido_dorsal bepe 1 92 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 ucp
Tumba_69 76.20 11.10 Rectangular 1.10 0.50 2.00 1.00 1.10 0 0 4 Femenino Extendido_dorsal bepe 0 240 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 NA
Tumba_70 49.30 14.65 Rectangular 1.10 0.50 1.80 0.90 0.99 1 0 6 Masculino Extendido_lateral bepe 0 180 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 3 3 0 Tronco
Tumba_71 51.80 15.70 Rectangular 0.80 0.72 1.65 1.19 0.95 0 0 7 NA Extendido_dorsal bepe 0 90 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_72 52.85 24.05 Rectangular 0.73 0.80 1.70 1.36 0.99 1 0 8 Masculino Extendido_dorsal bepe 0 90 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 Cabeza
Tumba_74 28.70 16.55 Rectangular 0.90 0.70 2.00 1.40 1.26 1 0 6 Femenino Extendido_dorsal bepe 0 151 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_75 66.10 41.80 Rectangular 1.20 0.97 2.06 2.00 2.40 1 0 8 Femenino Extendido_dorsal bepe 0 100 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 Pies
Tumba_76 64.30 44.10 Rectangular 1.11 0.84 2.40 2.02 2.24 1 0 6 Femenino Extendido_dorsal bepe 1 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_77 64.50 45.80 Rectangular 0.70 0.36 2.05 0.74 0.52 1 0 5 Femenino Extendido_dorsal bepe 0 168 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 224 0 0 0 0 0 0 224 0 0 1 0 2 2 2 Tronco
Tumba_78 62.85 46.10 Rectangular 0.96 1.10 2.40 2.64 2.53 1 0 8 Femenino Extendido_dorsal bxpe 0 160 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_79 61.80 44.30 Rectangular 0.70 0.79 1.10 0.87 0.61 1 0 1 NA Extendido_dorsal NA 0 325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_80 59.30 41.70 Rectangular 0.62 0.88 1.07 0.94 0.58 1 0 1 NA Extendido_dorsal bepe 0 82 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_81 58.20 45.80 Rectangular 1.04 0.68 2.10 1.43 1.49 0 0 6 Masculino Extendido_dorsal bepe 0 185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 NA
Tumba_82 57.70 48.15 Rectangular 0.86 0.42 1.46 0.61 0.53 1 0 4 NA Extendido_dorsal bepe 0 70 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 Tronco
Tumba_84 54.20 45.10 Rectangular 1.10 0.74 2.10 1.55 1.71 1 0 4 NA Extendido_dorsal bepe 0 147 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 NA
Tumba_85 53.00 44.20 Rectangular 0.90 0.72 1.82 1.31 1.18 1 0 4 NA Extendido_dorsal bepe 0 165 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 Cabeza
Tumba_87 51.00 43.70 Rectangular 1.35 0.95 2.00 1.90 2.57 1 0 NA Femenino Extendido_dorsal bepe 0 90 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 Tronco
Tumba_88 49.55 44.60 Rectangular 1.18 1.47 1.97 2.90 3.42 1 0 NA Masculino Extendido_dorsal bxpx 0 265 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_89 47.10 46.00 Rectangular 1.20 0.66 1.90 1.25 1.50 1 0 7 Femenino Extendido_dorsal bepe 0 270 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_90 45.90 46.70 Rectangular 0.80 0.60 1.00 0.60 0.48 1 0 1 NA Extendido_dorsal bxpe 0 45 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 Tronco
Tumba_91 46.10 43.60 Rectangular 0.60 0.46 1.85 0.85 0.51 1 0 8 Femenino Extendido_laterald NA 0 145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_92 44.00 44.20 Rectangular 0.75 0.80 1.50 1.20 0.90 1 0 1 NA Extendido_dorsal bepx 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_93 42.30 44.35 Rectangular 0.95 0.66 1.70 1.12 1.07 0 0 7 Masculino Extendido_dorsal bepe 0 165 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_94 42.00 42.20 Rectangular 0.85 0.30 1.30 0.39 0.33 1 0 1 NA Extendido_dorsal bepe 0 105 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_95 39.25 45.50 Rectangular 1.30 0.50 2.25 1.13 1.46 1 0 7 Femenino Extendido_dorsal bepe 0 70 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_97 36.15 46.30 Rectangular 0.85 1.00 2.00 2.00 1.70 1 0 8 Femenino Extendido_dorsal bepe 0 125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_98 26.18 48.10 Rectangular 1.15 1.20 2.00 2.40 2.76 0 0 4 Masculino Extendido_dorsal bepe 0 75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_99 18.50 47.80 Rectangular 0.80 1.40 2.00 2.80 2.24 1 0 7 Femenino Extendido_dorsal bxpx 0 155 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_100 69.60 41.90 Rectangular 1.22 1.05 1.93 2.03 2.47 0 0 5 Masculino Extendido_dorsal bepe 0 75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_100A 72.10 42.80 Rectangular 1.18 1.16 2.13 2.47 2.92 1 0 6 NA Extendido_dorsal bepe 0 250 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_102 15.84 46.75 Rectangular 0.50 0.46 0.60 0.28 0.14 1 0 1 NA Extendido_dorsal bepe 0 45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
